PM2.5,O3,PM10,SO2,NO2,CO
6.69,13.06,1.47,9.09,0.5,34.74
3.75,9.71,1.21,8.52,0.56,28.84
3.61,8.57,1.22,6.17,0.43,30.45
7.78,13.09,2.3,11.07,0.42,33.49
10.02,17.05,2.06,12.38,0.42,35.25
12.41,22.97,3.49,8.85,0.34,39.08
4.33,15.05,1.22,9.18,0.42,41.33
3.99,12.02,1.26,13.26,0.51,30.28
9.02,19.22,1.74,14.05,0.48,29.81
12.26,17.63,2.31,13.76,0.4,33.67
13.03,23.37,2.75,19.57,0.39,27.31
11.52,16.2,2.67,11.57,0.34,39.31
9.99,19.67,2.36,18.34,0.39,43.25
11.44,32.85,2.14,25.91,0.5,28.56
10.58,18.42,2.75,15.22,0.39,37.68
10.79,17.78,2.75,17.7,0.41,35.01
10.44,15.78,2.69,14.53,0.38,30.7
8.35,12.36,2.27,11.88,0.38,24.03
8.67,14.76,2.19,10.79,0.38,25.57
11.63,18.68,2.57,14.81,0.41,31.81
8.15,15.44,2.01,10.71,0.4,40.25
